rank,canonical_tag,zh,confidence,evidence
1,hentai,Hentai/成人动画,A,Pornhub 2025 全球搜索 #1（连续5年）
2,milf,熟女/MILF,A,全球搜索 #2
3,pinay,菲律宾女性/Pinay,A,全球搜索 #3
4,lesbian,女同/Lesbian,A,全球搜索 #4；全年最热观看分类 #1
5,anal,肛交,A,全球搜索 #5；观看分类 #4
6,big_ass,大屁股/巨尻,A,全球搜索 #6
7,indian,印度,A,全球搜索 #7；分类排名 +15
8,japanese,日本,A,全球搜索 #8
9,korean,韩国,A,全球搜索 #9；分类 +8
10,femboy,男娘/Femboy,A,全球搜索 #10（+15）；Gay 搜索 #1
11,trans,跨性别/Trans,B,观看分类 #2；搜索词 +2
12,latina,拉丁裔女性,B,2024 约 #9；美国 2025 搜索 #1
13,asian,亚洲,B,2024 #10；加拿大/澳洲搜索 #1
14,anime,动漫,B,2024 搜索 #7
15,creampie,中出/内射,B,2024 #12；日本分类 Top3；FANZA 高频
16,threesome,3P,B,2024 #13；多国 Top5
17,mature,成熟女性,B,观看分类 #5
18,big_tits,巨乳,B,2024 #15；FANZA 全品类近顶
19,blowjob,口交,B,2024 #19；分类 +7；FANZA 视频高频
20,ebony,黑人女性,B,2024 #18；美/哥高观看
21,cosplay,Cosplay,B,2024 #17；2025 +2
22,stepmom,继母,B,2024 #11
23,amateur,素人,B,2024 #27；日本搜索 Top3
24,pov,POV/主观视角,B,2024 #25；多国上升
25,joi,JOI,B,2024 #26；巴西 Top3
26,animation,动画,B,2024 #14
27,massage,按摩,B,2024 #16
28,wife,人妻,B,2024 #23；FANZA 人妻强
29,gangbang,轮交,B,2024 #21
30,bbc,BBC,B,2024 #22
31,cheating,出轨,B,2025 搜索 +9
32,3d,3D,B,2024 #24
33,squirt,潮吹,B,2024 #28；日本搜索 Top4
34,bbw,BBW/丰满,B,2024 #29
35,teacher,教师,B,2024 #30
36,roleplay,角色扮演,C,Role Play 分类 +98%
37,cuckold,绿帽,C,搜索 +73%，与出轨同潮
38,hotwife,热妻,C,+101%
39,gilf,GILF,C,+129%
40,stockings,黑丝/丝袜,C,东亚检索/供给显著偏高（JavDB 等）
41,pantyhose,连裤袜,C,中文圈相对词频突出
42,facial,颜射,C,东亚完结类常青；全球搜索未进官方 Top20
43,feet,恋足/足交,C,多国相对高；Z 世代偏好强
44,interracial,跨种族,C,美国相对观看 +127%
45,solo_female,女性自慰,C,分类 +10
46,fetish,恋物,C,加/荷相对高
47,scissoring,磨镜,C,lesbian 细分爆发
48,strapon,穿戴式,C,lesbian 细分增长
49,reality,真实,C,菲律宾相对 +308%
50,hardcore,Hardcore,C,女性观看上升提及
51,ntr,NTR/寝取,C,FANZA 综合约 Top7
52,school,校园,C,FANZA 综合约 Top5
53,uniform,制服,C,FANZA 综合约 Top9
54,paizuri,乳交,C,FANZA/JAV 玩法高频
55,uncensored,无码,C,东亚流通市场常见检索
56,doggy,后入,C,体位常青
57,cowgirl,骑乘,C,FANZA/漫画高频
58,bondage,束缚,C,SM 相关常青
59,bdsm,BDSM,C,恋物大类
60,public,露出/公开,C,常见 tube 标签
61,homemade,自拍自制,C,与素人重叠但检索独立
62,arab,阿拉伯,C,北非/中东高观看
63,brazilian,巴西,C,巴西本类极高
64,german,德国,C,德国本类极高
65,french,法国,C,法国本类极高
66,italian,意大利,C,意大利本类极高
67,british,英国,C,英国本类高
68,mexican,墨西哥,C,墨西哥搜索前列
69,colombian,哥伦比亚,C,哥/秘搜索高
70,spanish,西语,C,西语国家通用
71,argentine,阿根廷,C,阿根廷搜索 #1
72,polish,波兰,C,波兰搜索前列
73,chilean,智利,C,智利搜索 #1
74,egyptian,埃及,C,埃及搜索 #1
75,pinoy,菲律宾男,C,菲律宾搜索 #2
76,chinese,中国,C,菲律宾搜索上升提到
77,russian,俄罗斯,C,乌克兰等检索出现
78,masturbation,自慰,C,日本搜索 #2
79,couple,情侣,C,日本搜索上升
80,facesitting,颜面骑乘,C,英国显著上升
81,twink,Twink,C,Gay 搜索长期 Top
82,bareback,无套,C,Gay 观看分类前列
83,furry,福瑞,C,Gay 搜索约 Top5
84,pegging,Pegging,C,部分地区相对热
85,small_tits,贫乳,C,加拿大相对 +126%
86,vr,VR,C,加拿大相对 +118%
87,romantic,浪漫,C,Z 世代相对高
88,double_penetration,双插入,C,乌克兰相对高
89,pissing,尿液恋物,C,德国相对高
90,redhead,红发,C,北欧相对高
91,smoking,吸烟恋物,C,英国相对高
92,swingers,交换,C,+68%
93,office,办公室,C,场景类爆发
94,cougar,Cougar,C,+83%
95,bisexual,双性恋,C,+88%
96,queer,酷儿,C,+132%
97,blonde,金发,C,多国相对分类
98,brunette,棕发,C,波兰等相对高
99,tattoo,纹身,C,阿根廷相对高
100,teen_18,18+年轻成人,C,分类常青（仅指成年）
